**Characteristic**,"**N = 2,635**"
Einstellungen gegenüber Immigration,"4.50 (3.50, 5.25)"
Split Befragungsmodus,NA
CASI,"1,306 (50%)"
CAPI,"1,329 (50%)"
Erfolg des Splits,NA
CAPI,"1,329 (50%)"
"ja, ohne Hilfe",775 (29%)
"ja, Hilfe vorher",217 (8.2%)
"ja, Hilfe dabei",198 (7.5%)
nein,116 (4.4%)
Tendenz zu sozialer Erwünschtheit,"0.80 (0.60, 0.90)"
Bewertung der Erwünschtheit,"0.38 (0.25, 0.54)"
Geschlecht des/der Interviewers/-in,NA
Weiblich,980 (37%)
Männlich,"1,655 (63%)"
Anderes Geschlecht Interviewer/-in und Interviewee,"1,315 (50%)"
Alter der/des Interviewer/-in,"57 (52, 64)"
Zentriertes Alter der/des Interviewer/-in,"0 (-5, 7)"
Altersdifferenz Interviewer/-in Befragte/-r,"15 (7, 24)"
Bildung des/der Interviewer/-in,NA
ohne Abitur,"1,582 (60%)"
Abitur,"1,053 (40%)"
Erfahrung des/der Interviewer/-in,"10 (4, 20)"
Alter,"50 (37, 64)"
Zentriertes Alter,"1 (-12, 15)"
Geschlecht,NA
Männlich,"1,264 (48%)"
Weiblich,"1,371 (52%)"
Bildung,NA
ohne Abitur,"1,962 (74%)"
Abitur,673 (26%)
